strain	num_date	pca1	pca2	pca3	pca4	mds1	mds2	tsne_x	tsne_y	umap_x	umap_y	clade_membership	pca_label	mds_label	umap_label	t-sne_label	y_value
A/Iowa/40/2019	2019.67	-3.15	-1.21	3.10	3.37	27.87	9.49	-5.50	-31.28	18.23	-5.67	A1b/94N	3	4	1	4	348
A/Nevada/33/2019	2019.83	-3.15	-1.21	3.11	3.39	29.15	9.70	-5.63	-31.65	18.47	-5.31	A1b/94N	3	4	1	4	349
A/Maryland/38/2019	2019.86	-3.15	-1.21	3.12	3.42	32.94	10.39	-5.86	-32.26	18.06	-4.24	A1b/94N	3	-1	1	4	350
A/Colorado/01/2020	2020.00	-3.14	-1.21	3.10	3.39	28.97	10.01	-4.88	-31.44	17.82	-5.14	A1b/94N	3	4	1	4	351
A/Montana/45/2019	2019.74	-3.15	-1.23	3.04	3.38	27.31	10.32	-5.10	-30.87	18.38	-5.77	A1b/94N	3	4	1	4	352
A/Utah/53/2019	2019.85	-3.15	-1.21	3.11	3.33	27.88	9.21	-5.11	-30.57	17.75	-5.53	A1b/94N	3	4	1	4	353
A/NorthCarolina/31/2019	2019.90	-3.14	-1.21	3.09	3.36	27.80	9.56	-5.11	-30.57	17.87	-5.48	A1b/94N	3	4	1	4	354
A/India/Pun-1922253/2019	2019.62	-3.14	-1.21	3.09	3.35	26.69	9.19	-5.19	-30.67	17.76	-5.90	A1b/94N	3	4	1	4	355
A/SouthAustralia/136/2018	2018.79	-2.97	-0.51	1.45	-0.91	16.37	2.44	0.96	-5.42	14.44	-9.47	A1b/131K	7	3	1	5	356
A/SouthAustralia/159/2018	2018.84	-2.96	-0.50	1.38	-1.07	15.87	1.95	-0.01	-5.94	14.60	-9.17	A1b/131K	7	3	1	5	357
A/Homosapien/China/LS319/2019	2019.05	-2.95	-0.50	1.41	-1.10	22.58	1.79	-1.91	-9.29	17.26	-9.30	A1b/131K	7	3	1	5	358
A/Homosapien/China/LS328/2019	2019.12	-2.95	-0.50	1.41	-1.10	24.58	0.64	-1.92	-9.29	17.61	-9.49	A1b/131K	7	3	1	5	359
A/Japan/NHRC-OID_FDX70487/2018	2018.85	-2.73	-0.11	1.28	-0.99	15.18	0.82	0.11	-7.29	15.07	-9.66	A1b/131K	7	3	1	5	360
A/England/7821/2019	2019.01	-3.12	-0.79	1.39	-1.13	16.49	2.14	-0.00	-7.96	15.67	-9.74	A1b/131K	-1	3	1	5	361
A/Japan/9505/2019	2019.23	-2.88	-0.50	1.41	-1.08	14.84	1.56	1.41	-7.22	14.36	-9.84	A1b/131K	7	3	1	5	362
A/Japan/NHRC-OID_FDX70521/2018	2018.93	-2.81	-0.40	1.32	-1.02	13.49	0.40	1.35	-7.98	14.60	-10.08	A1b/131K	7	3	1	5	363
A/Italy/9062/2019	2019.13	-2.96	-0.49	1.39	-1.08	16.91	2.63	1.92	-7.21	15.33	-9.38	A1b/131K	7	3	1	5	364
A/Texas/136/2018	2018.78	-2.96	-0.50	1.38	-1.07	15.32	1.64	1.31	-6.83	14.28	-9.73	A1b/131K	7	3	1	5	365
A/Victoria/2067/2018	2018.72	-2.96	-0.49	1.38	-1.07	15.33	1.59	0.66	-6.29	14.16	-9.95	A1b/131K	7	3	1	5	366
A/Homosapien/China/LS318/2019	2019.03	-2.96	-0.50	1.38	-1.08	17.09	2.75	1.91	-5.74	15.36	-9.58	A1b/131K	7	3	1	5	367
A/Germany/8912/2019	2019.10	-2.88	-0.37	1.35	-1.05	14.28	-0.01	3.16	-6.43	14.97	-10.01	A1b/131K	7	3	1	5	368
A/Germany/8926/2019	2019.10	-2.88	-0.37	1.36	-1.05	14.32	-0.06	3.17	-6.43	14.84	-9.87	A1b/131K	7	3	1	5	369
A/Iowa/60/2018	2018.79	-2.96	-0.50	1.38	-1.07	15.36	1.65	0.66	-6.30	13.95	-9.97	A1b/131K	7	3	1	5	370
A/SouthAustralia/143/2018	2018.81	-2.86	-0.50	1.42	-1.08	14.37	1.43	0.87	-6.14	13.85	-9.79	A1b/131K	7	3	1	5	371
A/Brisbane/138/2018	2018.66	-2.96	-0.50	1.38	-1.07	15.02	1.54	0.77	-6.18	14.00	-10.00	A1b/131K	7	3	1	5	372
A/Iowa/68/2018	2018.86	-2.96	-0.52	1.33	-1.06	15.37	1.97	0.95	-6.10	13.96	-9.78	A1b/131K	7	3	1	5	373
A/Homosapien/China/LS339/2019	2019.77	-2.96	-0.49	1.40	-1.10	20.44	2.82	-0.78	-6.71	17.08	-9.23	A1b/131K	7	3	1	5	374
A/Homosapien/China/LS323/2019	2019.09	-2.98	-0.50	1.48	-1.32	21.90	0.06	0.84	-1.09	17.17	-9.72	A1b/131K	7	3	1	5	375
A/Homosapien/China/LS338/2019	2019.68	-2.99	-0.52	1.45	-1.27	23.69	-0.25	-0.31	-4.15	17.49	-9.52	A1b/131K	7	3	1	5	376
A/California/145/2019	2019.40	-2.99	-0.51	1.50	-1.32	16.34	1.03	-0.16	-2.43	14.48	-9.75	A1b/131K	7	3	1	5	377
A/NewHampshire/28/2018	2018.82	-2.99	-0.51	1.50	-1.31	16.34	1.03	-0.16	-2.43	14.32	-9.38	A1b/131K	7	3	1	5	378
A/Homosapien/China/LS329/2019	2019.12	-2.99	-0.51	1.49	-1.31	20.30	0.92	-0.30	-2.04	16.58	-9.57	A1b/131K	7	3	1	5	379
A/DistrictOfColumbia/37/2019	2019.52	-2.99	-0.51	1.51	-1.34	24.12	-1.10	-0.64	-1.18	17.66	-9.86	A1b/131K	7	3	1	5	380
A/Maryland/07/2020	2020.03	-3.00	-0.52	1.52	-1.38	27.47	-2.16	-1.39	0.21	17.80	-9.61	A1b/131K	7	-1	1	5	381
A/Montana/63/2019	2019.94	-2.91	-0.52	1.58	-1.41	26.56	-2.51	-1.61	0.60	17.84	-9.59	A1b/131K	7	-1	1	5	382
A/Vermont/02/2020	2020.02	-3.09	-0.51	1.52	-1.40	29.00	-3.38	-1.67	0.69	18.01	-9.29	A1b/131K	7	-1	1	5	383
A/Japan/NHRC-OID_FDX70571/2019	2019.08	-2.84	0.69	1.10	-1.00	18.82	-0.43	2.71	-3.81	16.27	-9.52	A1b/131K	-1	3	1	5	384
A/Japan/8261/2019	2019.04	-2.99	-0.51	1.51	-1.33	18.86	1.12	1.63	-2.22	15.97	-9.45	A1b/131K	7	3	1	5	385
A/Yokosuka/NHRC_OID_FDX70622/2019	2019.12	-3.00	-0.52	1.48	-1.31	21.93	0.80	3.55	-2.98	17.18	-9.58	A1b/131K	7	3	1	5	386
A/Japan/7848/2019	2019.02	-2.99	-0.51	1.50	-1.32	17.37	1.04	1.90	-3.00	14.91	-9.04	A1b/131K	7	3	1	5	387
A/Japan/NHRC-OID_FDX70566/2019	2019.02	-2.99	-0.51	1.50	-1.32	17.36	0.98	1.90	-3.00	15.04	-9.19	A1b/131K	7	3	1	5	388
A/DistrictOfColumbia/39/2019	2019.61	-3.01	-0.57	1.35	-1.30	22.04	0.55	2.63	-1.76	17.08	-9.82	A1b/131K	-1	3	1	5	389
A/Italy/8442/2019	2019.05	-2.99	-0.51	1.50	-1.32	16.45	1.07	1.89	-3.00	14.39	-9.37	A1b/131K	7	3	1	5	390
A/Minnesota/50/2019	2019.60	-3.02	-0.25	1.38	-1.25	16.50	-1.89	1.57	-3.57	15.48	-9.68	A1b/131K	7	3	1	5	391
A/Arizona/31/2019	2019.48	-3.00	-0.50	1.50	-1.32	18.85	0.98	2.57	-2.80	15.97	-9.72	A1b/131K	7	3	1	5	392
A/Germany/9676/2019	2019.27	-2.99	-0.51	1.50	-1.32	17.41	1.01	1.90	-3.00	15.28	-9.15	A1b/131K	7	3	1	5	393
A/Kansas/21/2019	2019.21	-2.98	-0.51	1.51	-1.32	17.18	1.13	0.03	-3.46	15.12	-8.75	A1b/131K	7	3	1	5	394
A/Germany/9490/2019	2019.23	-3.01	-0.40	1.45	-1.32	17.75	-0.05	-2.06	-4.92	15.65	-9.50	A1b/131K	7	3	1	5	395
A/Moscow/121/2019	2019.20	-2.93	-0.49	1.53	-1.36	17.21	1.39	-1.87	-2.92	15.65	-9.60	A1b/131K	7	3	1	5	396
A/Makhachkala/86/2019	2019.16	-2.91	-0.54	1.56	-1.33	16.97	1.35	-2.39	-2.45	15.39	-9.09	A1b/131K	7	3	1	5	397
A/Spain/9001/2019	2019.09	-3.00	-0.53	1.52	-1.36	17.47	1.23	-2.33	-4.14	14.96	-8.91	A1b/131K	7	3	1	5	398
A/Italy/8941/2019	2019.08	-3.16	0.26	1.39	-1.66	16.90	0.76	-3.58	-4.88	15.12	-9.15	A1b/131K	-1	3	1	5	399
A/Italy/8444/2019	2019.06	-3.00	-0.53	1.53	-1.37	18.58	1.24	-3.62	-4.88	15.80	-9.29	A1b/131K	7	3	1	5	400
A/Italy/9366/2019	2019.15	-3.00	-0.53	1.53	-1.37	18.59	1.34	-4.04	-4.75	15.96	-9.04	A1b/131K	7	3	1	5	401
A/Belgium/8725/2019	2019.10	-3.00	-0.53	1.53	-1.37	18.60	1.30	-3.93	-4.33	15.77	-9.04	A1b/131K	7	3	1	5	402
A/Spain/9580/2019	2019.23	-3.00	-0.53	1.53	-1.38	20.06	1.17	-4.67	-3.99	16.47	-9.35	A1b/131K	7	3	1	5	403
A/Utah/65/2019	2019.96	-3.00	-0.54	1.51	-1.39	27.32	-1.65	-5.37	-4.94	17.96	-9.71	A1b/131K	7	-1	1	5	404
A/England/9617/2019	2019.28	-3.00	-0.53	1.52	-1.37	18.52	1.48	-3.93	-4.32	15.96	-9.02	A1b/131K	7	3	1	5	405
A/Pennsylvania/1022/2019	2019.82	-2.64	-0.59	1.58	-1.39	19.99	1.86	-4.10	-5.85	16.81	-9.78	A1b/131K	7	3	1	5	406
A/Italy/8601/2019	2019.06	-3.00	-0.53	1.53	-1.37	17.59	1.27	-3.61	-4.45	14.97	-9.18	A1b/131K	7	3	1	5	407
A/England/8887/2019	2019.10	-3.18	-0.51	1.46	-1.34	16.69	1.09	-2.55	-3.49	14.77	-9.23	A1b/131K	7	3	1	5	408
A/SouthKorea/9579/2019	2019.26	-3.00	-0.53	1.52	-1.35	18.66	1.54	-3.31	-2.77	16.07	-9.25	A1b/131K	7	3	1	5	409
A/SouthKorea/9645/2019	2019.27	-3.00	-0.53	1.52	-1.35	18.69	1.45	-3.30	-2.77	15.97	-9.16	A1b/131K	7	3	1	5	410
A/Germany/8752/2019	2019.12	-3.00	-0.52	1.52	-1.36	17.44	1.30	-2.62	-3.65	15.00	-9.46	A1b/131K	7	3	1	5	411
A/Florida/86/2019	2019.57	-3.18	-0.52	1.48	-1.33	21.20	1.14	-4.28	-2.03	16.81	-9.42	A1b/131K	7	3	1	5	412
A/Yaroslavl/82/2019	2019.14	-3.00	-0.53	1.52	-1.35	17.46	1.35	-2.01	-4.08	15.00	-8.81	A1b/131K	7	3	1	5	413
A/Moscow/122/2019	2019.20	-3.00	-0.53	1.52	-1.36	17.49	1.28	-1.87	-3.70	15.06	-8.82	A1b/131K	7	3	1	5	414
A/Grozny/89/2019	2019.16	-3.00	-0.53	1.52	-1.35	16.59	1.12	-2.27	-3.70	14.17	-9.26	A1b/131K	7	3	1	5	415
A/Spain/8527/2019	2019.08	-3.00	-0.53	1.52	-1.35	16.59	1.12	-2.27	-3.70	14.34	-9.20	A1b/131K	7	3	1	5	416
A/Hawaii/36/2019	2019.36	-3.04	-0.39	1.53	-1.56	17.46	-2.54	6.21	4.79	16.59	-11.00	A1b/197R	8	3	1	5	417
A/England/8741/2019	2019.16	-2.96	-0.26	1.52	-1.51	16.81	-2.84	5.28	4.84	15.69	-11.06	A1b/197R	8	3	1	5	418
A/Japan/NHRC-OID_FDX70591/2019	2019.08	-2.95	-0.41	1.57	-1.54	19.08	-1.89	4.27	2.48	16.83	-10.63	A1b/197R	8	3	1	5	419
A/SouthKorea/9578/2019	2019.26	-2.90	-0.42	1.57	-1.57	17.65	-2.36	6.99	4.10	16.69	-11.08	A1b/197R	-1	3	1	5	420
A/Florida/85/2019	2019.55	-2.78	-0.41	1.63	-1.58	22.23	-4.08	3.24	5.59	18.16	-10.40	A1b/197R	8	3	1	5	421
A/SouthKorea/8822/2019	2019.14	-2.95	-0.40	1.58	-1.56	18.72	-2.50	4.22	5.74	16.88	-10.66	A1b/197R	8	3	1	5	422
A/SouthKorea/8823/2019	2019.16	-2.95	-0.40	1.58	-1.56	17.62	-1.84	4.24	5.59	16.14	-10.83	A1b/197R	8	3	1	5	423
A/SouthKorea/9704/2019	2019.28	-2.86	-0.40	1.59	-1.62	16.69	-2.62	6.93	2.56	16.45	-10.93	A1b/197R	8	3	1	5	424
A/SouthKorea/8832/2019	2019.17	-2.86	-0.40	1.61	-1.56	15.41	-1.23	6.11	3.09	14.92	-10.75	A1b/197R	8	3	1	5	425
A/SouthKorea/8825/2019	2019.17	-2.86	-0.40	1.61	-1.57	15.82	-1.79	6.35	2.92	15.88	-10.79	A1b/197R	8	3	1	5	426
A/SouthKorea/8824/2019	2019.14	-2.86	-0.40	1.61	-1.57	15.86	-1.83	6.35	2.92	15.74	-10.62	A1b/197R	8	3	1	5	427
A/Germany/8917/2019	2019.08	-2.95	-0.40	1.57	-1.55	16.51	-1.18	4.78	3.86	15.38	-11.09	A1b/197R	8	3	1	5	428
A/Japan/NHRC-OID_FDX70587/2019	2019.08	-2.95	-0.39	1.57	-1.55	16.59	-1.33	5.10	3.27	15.22	-11.14	A1b/197R	8	3	1	5	429
A/Guam/8597/2019	2019.08	-2.95	-0.40	1.57	-1.55	16.67	-1.27	5.54	3.91	15.22	-10.87	A1b/197R	8	3	1	5	430
A/Japan/8603/2019	2019.09	-2.95	-0.41	1.56	-1.55	16.51	-1.11	4.24	3.50	15.18	-10.96	A1b/197R	8	3	1	5	431
A/Maryland/31/2019	2019.63	-2.95	-0.41	1.57	-1.57	18.92	-2.11	2.80	3.32	16.97	-10.79	A1b/197R	8	3	1	5	432
A/Utah/37/2019	2019.46	-2.88	-0.27	1.53	-1.54	21.61	-6.17	2.60	3.04	18.07	-10.21	A1b/197R	8	3	1	5	433
A/Texas/361/2019	2019.57	-2.95	-0.40	1.57	-1.57	24.34	-4.45	2.47	3.53	18.36	-10.10	A1b/197R	8	3	1	5	434
A/Hawaii/08/2019	2019.09	-2.95	-0.40	1.58	-1.55	16.67	-1.21	5.01	3.26	14.96	-11.11	A1b/197R	8	3	1	5	435
A/Japan/8769/2019	2019.16	-2.95	-0.40	1.57	-1.55	16.63	-1.25	5.54	3.94	15.23	-11.04	A1b/197R	8	3	1	5	436
A/Japan/7846/2019	2019.01	-2.95	-0.40	1.57	-1.55	16.04	-0.84	5.15	3.76	15.07	-10.42	A1b/197R	8	3	1	5	437
A/Japan/NHRC-OID_FDX70590/2019	2019.08	-3.31	-0.37	1.46	-1.53	15.58	-0.80	5.15	3.75	14.79	-10.39	A1b/197R	-1	3	1	5	438
A/Montana/60/2019	2019.92	-2.95	-0.39	1.58	-1.55	18.61	-2.68	3.88	4.29	16.91	-10.76	A1b/197R	8	3	1	5	439
A/England/9338/2019	2019.25	-2.95	-0.39	1.57	-1.55	16.58	-1.28	4.95	4.14	15.24	-10.95	A1b/197R	8	3	1	5	440
A/NorthDakota/25/2019	2019.49	-2.96	-0.44	1.51	-1.55	17.52	-1.68	5.37	1.44	15.98	-11.13	A1b/197R	-1	3	1	5	441
A/Texas/9844/2019	2019.56	-2.96	-0.44	1.51	-1.55	17.52	-1.68	5.37	1.44	15.98	-11.02	A1b/197R	-1	3	1	5	442
A/Alabama/23/2019	2019.68	-2.96	-0.44	1.51	-1.55	18.71	-2.17	5.40	1.24	16.81	-10.89	A1b/197R	-1	3	1	5	443
A/Japan/NHRC-OID_FDX70574/2019	2019.08	-2.97	-0.39	1.59	-1.66	19.14	-2.58	6.29	6.78	17.09	-10.83	A1b/197R	-1	3	1	5	444
A/Japan/NHRC-OID_FDX70593/2019	2019.08	-2.96	-0.40	1.61	-1.63	19.21	-2.52	6.29	6.78	17.25	-11.15	A1b/197R	8	3	1	5	445
A/Alaska/38/2019	2019.61	-2.91	-0.41	1.64	-1.67	25.03	-5.28	9.69	3.65	18.08	-10.18	A1b/197R	-1	-1	1	5	446
A/Montana/44/2019	2019.71	-2.91	-0.41	1.64	-1.66	23.40	-4.75	9.68	3.66	18.30	-10.25	A1b/197R	-1	3	1	5	447
A/NewJersey/43/2019	2019.92	-2.84	-0.29	1.62	-1.70	24.04	-7.00	10.28	5.89	18.18	-10.07	A1b/197R	9	-1	1	5	448
A/Wisconsin/554/2019	2019.45	-2.92	-0.42	1.65	-1.72	19.81	-3.53	9.84	6.26	17.75	-11.14	A1b/197R	9	3	1	5	449
A/Florida/9851/2019	2019.71	-2.92	-0.42	1.65	-1.72	19.81	-3.53	9.84	6.26	17.83	-11.42	A1b/197R	9	3	1	5	450
A/Texas/358/2019	2019.54	-2.97	-0.41	1.63	-1.70	20.91	-3.42	9.83	8.25	18.14	-11.44	A1b/197R	9	3	1	5	451
A/Guam/9841/2019	2019.56	-2.92	-0.37	1.41	-1.63	17.23	-3.39	11.28	8.35	17.02	-11.49	A1b/197R	9	3	1	5	452
A/Pennsylvania/1017/2019	2019.72	-2.93	-0.25	1.34	-1.63	19.51	-5.70	11.74	8.39	17.78	-10.94	A1b/197R	-1	3	1	5	453
A/Florida/127/2019	2019.89	-2.92	-0.38	1.39	-1.67	20.38	-5.07	11.73	8.39	17.83	-10.62	A1b/197R	-1	3	1	5	454
A/Wisconsin/569/2019	2019.77	-2.92	-0.38	1.39	-1.67	20.53	-5.04	11.73	8.39	17.71	-10.68	A1b/197R	-1	3	1	5	455
A/California/166/2019	2019.62	-2.97	-0.41	1.62	-1.69	19.29	-2.81	8.50	7.34	17.23	-11.52	A1b/197R	9	3	1	5	456
A/Washington/9847/2019	2019.60	-2.89	-0.28	1.59	-1.66	18.19	-4.35	8.30	7.13	17.36	-11.50	A1b/197R	9	3	1	5	457
A/Texas/394/2019	2019.80	-2.97	-0.42	1.65	-1.73	23.93	-4.23	10.20	10.89	18.48	-10.51	A1b/197R	9	3	1	5	458
A/Vermont/33/2019	2019.99	-2.97	-0.41	1.65	-1.72	25.48	-4.78	10.22	10.93	17.99	-10.24	A1b/197R	9	-1	1	5	459
A/Idaho/33/2019	2019.81	-3.13	-0.65	1.69	-1.76	19.41	-4.03	9.68	7.71	17.67	-11.70	A1b/197R	-1	3	1	5	460
A/Pennsylvania/1034/2019	2019.92	-2.80	-0.41	1.68	-1.71	20.04	-3.54	9.10	7.39	17.92	-11.35	A1b/197R	9	3	1	5	461
A/Michigan/390/2019	2019.52	-2.25	-0.53	1.77	-1.76	17.30	-2.06	9.07	7.92	15.60	-11.28	A1b/197R	-1	3	1	5	462
A/Maryland/36/2019	2019.78	-2.98	-0.41	1.65	-1.73	22.30	-3.80	7.51	10.02	18.51	-10.86	A1b/197R	9	3	1	5	463
A/Hawaii/60/2019	2019.64	-2.97	-0.41	1.64	-1.72	20.75	-3.26	8.73	9.55	18.10	-11.44	A1b/197R	9	3	1	5	464
A/Iowa/38/2019	2019.66	-2.97	-0.41	1.64	-1.71	20.87	-3.26	8.99	9.36	18.33	-11.50	A1b/197R	9	3	1	5	465
A/Alaska/35/2019	2019.55	-2.97	-0.41	1.64	-1.72	20.88	-3.22	7.74	8.76	18.24	-11.17	A1b/197R	9	3	1	5	466
A/California/177/2019	2019.78	-2.97	-0.41	1.64	-1.72	20.78	-3.33	7.91	8.54	18.33	-11.36	A1b/197R	9	3	1	5	467
A/Wisconsin/571/2019	2019.79	-3.35	-0.40	1.54	-1.70	20.12	-3.38	8.39	9.64	18.00	-11.34	A1b/197R	-1	3	1	5	468
A/Maine/36/2019	2019.83	-2.98	-0.42	1.66	-1.70	20.94	-3.01	8.07	9.41	18.45	-11.16	A1b/197R	9	3	1	5	469
A/California/218/2019	2019.84	-2.97	-0.41	1.64	-1.72	20.83	-3.28	7.73	9.12	18.39	-10.98	A1b/197R	9	3	1	5	470
A/Utah/56/2019	2019.90	-2.79	-0.44	1.67	-1.73	19.99	-3.18	8.96	8.77	18.06	-11.17	A1b/197R	-1	3	1	5	471
A/Minnesota/49/2019	2019.55	-2.98	-0.41	1.65	-1.74	19.51	-2.74	8.49	8.81	17.36	-11.62	A1b/197R	9	3	1	5	472
A/Wisconsin/560/2019	2019.65	-2.98	-0.42	1.65	-1.74	19.49	-2.76	8.48	8.81	17.14	-11.36	A1b/197R	9	3	1	5	473
A/Florida/110/2019	2019.75	-2.98	-0.41	1.66	-1.76	19.51	-2.74	8.49	8.81	17.45	-11.27	A1b/197R	9	3	1	5	474
